 Placa ; Tipo de Vehiculo ; Marca ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Valor Total ; Fecha de Emision ; Codigo Sii ; Clasificacion ; Forma de Pago 
FRPS-70;AUTOMOVIL;NISSAN;2019;21894;0;0;21894;12-03-2019;HB176004913;NORMAL;1ra. Cuota
HDHD-96;STATION WAGON;NISSAN;2019;78583;0;0;78583;12-03-2019;SU176022115;NORMAL;1ra. Cuota
YA-3836;CAMIONETA;TOYOTA;2019;17194;0;0;17194;12-03-2019;CT235008905;NORMAL;1ra. Cuota
RG-3184;CAMIONETA;CHEVROLET;2019;12088;0;0;12088;12-03-2019;CT050008597;NORMAL;1ra. Cuota
DJ-4803;JEEP;DAIHATSU;2019;24177;0;0;24177;13-03-2019;SU059000591;NORMAL;Contado
YRV-021;CARRO ARRASTRE;HECHIZO;2019;24177;0;0;24177;13-03-2019; ;NORMAL;Contado
CYYH-11;CAMIONETA;MAZDA;2019;51883;0;0;51883;13-03-2019;CT160010011;NORMAL;1ra. Cuota
VC-1831;STATION WAGON;CHEVROLET;2019;12088;0;0;12088;13-03-2019;SD050018103;NORMAL;1ra. Cuota
LJ-6522;CAMIONETA;MITSUBISHI;2019;12088;0;0;12088;13-03-2019;CT166001194;NORMAL;1ra. Cuota
KKYB-45;STATION WAGON;TOYOTA;2019;125983;0;0;125983;13-03-2019;SU235010618;NORMAL;1ra. Cuota
GRYK-45;STATION WAGON;HONDA;2019;389282;0;0;389282;13-03-2019;SU106003514;NORMAL;Contado
HXVS-20;FURGON;CITROEN;2019;143065;0;0;143065;13-03-2019;CO052010116;NORMAL;Contado
GRYK-25;AUTOMOVIL;MERCEDES BENZ;2019;357282;0;0;357282;13-03-2019;SD162039815;NORMAL;Contado
BVTG-47;STATION WAGON;MERCEDES BENZ;2019;270865;0;0;270865;13-03-2019;SU162002509;NORMAL;Contado
EG-3646;FURGON;VOLKSWAGEN;2019;24177;0;0;24177;13-03-2019;SD243000574;NORMAL;Contado
ZT-6006;CAMIONETA;NISSAN;2019;39788;0;0;39788;13-03-2019;CT176019706;NORMAL;Contado
KYSR-53;CAMIONETA;MAZDA;2019;470342;0;0;470342;13-03-2019;CT160012019;NORMAL;Contado
BSYV-54;CAMIONETA;MAZDA;2019;48188;0;0;48188;13-03-2019;CT160008408;NORMAL;Contado
CPTT-61;AUTOMOVIL;SUZUKI;2019;12088;0;0;12088;14-03-2019;HB229011011;NORMAL;1ra. Cuota
CFTY-94;STATION WAGON;NISSAN;2019;59188;0;0;59188;14-03-2019;SU176019510;NORMAL;Contado
XV-5014;CAMIONETA;TOYOTA;2019;28100;0;0;28100;14-03-2019;CT235008904;NORMAL;Contado
CCFY-54;CAMIONETA;NISSAN;2019;63988;0;0;63988;14-03-2019;CT176023810;NORMAL;Contado
LY-9750;JEEP;SUZUKI;2019;24177;0;0;24177;14-03-2019;SU229001695;NORMAL;Contado
TH-7763;CAMIONETA;FORD;2019;12088;0;0;12088;14-03-2019;CT079009399;NORMAL;1ra. Cuota
