 Placa ; Tipo de Vehiculo ; Marca ; Modelo ; Año del Permiso ; Valor Total ; Forma de Pago 
BYJD-21;CAMIONETA;NISSAN;TERRANO PICK UP/DXS;2017;33932;1ra. Cuota
CRFS-54;JEEP;SUZUKI;JIMNY 1.3 JLX WINCHE;2017;58463;Contado
FDDW-55;STATION WAGON;CHERY;DESTINY AC;2017;64463;Contado
YV-1635;CAMIONETA;CHEVROLET;MONTANA RC 1.7D DH;2017;23200;Contado
PG-5841;JEEP;SUZUKI;VITARA TECHO FIBRA;2017;23115;Contado
TP-9399;JEEP;SUZUKI;GRAND VITARA JLX;2017;23115;Contado
CFDR-64;STATION WAGON;SUZUKI;GRAND NOMADE GLX SPORT 4X;2017;43894;1ra. Cuota
WG-2381;CAMIONETA;NISSAN;TERRANO DX 4X4 D/C;2017;47263;Contado
UB-7729;STATION WAGON;TOYOTA;RAV4 LUJO;2017;34463;Contado
WP-9222;AUTOMOVIL;NISSAN;V16 EX SALOON STD COLOR;2017;12400;1ra. Cuota
VV-6738;CAMIONETA;MITSUBISHI;L200 D/C GL;2017;23115;Contado
BLZJ-79;CAMIONETA;HYUNDAI;PORTER HR HD TDI CAM. PS;2017;54663;Contado
FWWH-61;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DAB;2017;88894;1ra. Cuota
WA-9261;CAMIONETA;MAZDA;B2500 DX 4X4;2017;57063;Contado
UE-3808;AUTOMOVIL;NISSAN;V16 EX SALOON STD COLOR;2017;11557;1ra. Cuota
NJ-5925;CAMIONETA;CHEVROLET;LUV 2.3 STANDARD;2017;11557;1ra. Cuota
FPYW-52;FURGON;FIAT;FIORINO;2017;45863;Contado
UZ-5918;AUTOMOVIL;FIAT;SIENA FIRE;2017;23115;Contado
HTRD-28;CARRO BOMBA;IVECO;150 E 30 4X4;2016;0;Contado
BYDL-39;CAMION;VOLKSWAGEN;26.220M;2016;0;Contado
KS-8974;CAMIONETA;CHEVROLET;LUV 2.3 D/C;2017;11557;1ra. Cuota
DS-9221;JEEP;NISSAN;TERRANO 4WD;2017;23115;Contado
ZX-2125;FURGON;FIAT;FIORINO;2017;23115;Contado
VG-1880;CAMIONETA;MAZDA;B2900 DC SDX 4X4 AB-ABS;2017;42463;Contado
DTDS-65;CAMIONETA;CHEVROLET;SILVERADO LT II CC 5.3 4W;2017;258488;Contado
FGJZ-68;STATION WAGON;SSANGYONG;NEW KYRON XDI 4X4 TC;2017;205688;Contado
DZYV-74;AUTOMOVIL;MERCEDES BENZ;E200 CGI BLUE EFFICIENCY;2017;340415;Contado
BRSS-58;STATION WAGON;FORD;ECOSPORT XLS 4X2;2017;46263;Contado
ZU-8032;CAMIONETA;CHEVROLET;LUV D-MAX CC 3.0D 4WD BU;2017;41063;Contado
HSRS-41;AUTOMOVIL;KIA MOTORS;MORNING EX 1.0L 5MT AC;2017;87788;Contado
HVJJ-74;STATION WAGON;TOYOTA;RAV4 SUPER LUJO 4X4 724ML;2017;157408;1ra. Cuota
CDRK-35;AUTOMOVIL;HYUNDAI;I-10 1.1 GLS;2017;31263;Contado
LY-9750;JEEP;SUZUKI;SAMURAI 4WD T.MET.;2017;23115;Contado
NJ-7695;CAMIONETA;FORD;RANGER XLT REG/CAB;2017;23115;Contado
DP-7165;JEEP;CHEVROLET;BLAZER C10 2WD;2017;23115;Contado
CRHB-38;CAMIONETA;CHEVROLET;D-MAX CC 3.0D 4WD DAB ABS;2017;97688;Contado
BDVJ-63;STATION WAGON;HYUNDAI;SANTA FE 2.7 GLS AT FULL;2017;107288;Contado
CDWC-95;AUTOMOVIL;HYUNDAI;ACCENT MC 1.4 GL PS AV;2017;44263;Contado
YD-8052;CAMIONETA;FIAT;STRADA P.UP T.DIES C/EXT.;2017;23115;Contado
DJWX-53;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRT 4X;2017;145688;Contado
ST-9613;CAMIONETA;TOYOTA;HILUX D/C STD 4WD;2017;23115;Contado
ND-2923;CAMIONETA;NISSAN;D/C 4WD;2017;23115;Contado
GXVW-86;CAMIONETA;MITSUBISHI;L200 KATANA CRT;2017;122194;1ra. Cuota
RJ-2433;JEEP;SUZUKI;VITARA STD 1.6 IJX DH;2017;23115;Contado
CZZH-45;CAMIONETA;CHEVROLET;D-MAX TH CC 3.0D 4WD DAB;2017;59194;1ra. Cuota
DWZV-13;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4;2017;97444;1ra. Cuota
DRYY-84;CAMIONETA;NISSAN;TERRANO AXS TURBO DSEL 4X;2017;142088;Contado
CBRB-79;CAMIONETA;TOYOTA;HILUX DIESEL 4X4 A/A;2017;118088;Contado
FVRH-56;CAMIONETA;HUANGHAI;STEED 2.2;2017;33232;1ra. Cuota
BBTW-70;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRL 4X;2017;74263;Contado
BZ-9915;CAMIONETA;CHEVROLET;LUV 2.3 SPACE CAB;2017;23115;Contado
HLWT-75;CAMIONETA;FORD;RANGER DIESEL 4X4 XLT;2017;480815;Contado
WV-4378;STATION WAGON;HYUNDAI;TUCSON 2.0 GL MT 4WD CRDI;2017;64463;Contado
FCLH-17;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4;2017;194888;Contado
VL-9548;CAMIONETA;CHEVROLET;LUV 2.2L C/C GLS 2T 2WD;2017;23115;Contado
HHKR-10;CAMIONETA;MITSUBISHI;L200 KATANA CRM;2017;235688;Contado
JGJZ-64;STATION WAGON;GREAT WALL;HAVAL NEW H3 2.0;2017;89725;1ra. Cuota
WV-4864;CAMIONETA;NISSAN;TERRANO DX 4X4;2017;24332;1ra. Cuota
YN-5810;AUTOMOVIL;FIAT;UNO FIRE;2017;23115;Contado
HBVD-76;CAMIONETA;MAHINDRA;GENIO PU DC 4X4 MT FULL C;2017;76744;1ra. Cuota
TU-3357;CAMIONETA;HYUNDAI;PORTER SPR;2017;23115;Contado
WZ-8235;AUTOMOVIL;NISSAN;PLATINA HL 407;2017;25500;Contado
SG-7085;CAMIONETA;CHEVROLET;LUV 4WD D/C;2014;35492;Contado
SG-7085;CAMIONETA;CHEVROLET;LUV 4WD D/C;2015;31636;Contado
SG-7085;CAMIONETA;CHEVROLET;LUV 4WD D/C;2016;27266;Contado
SG-7085;CAMIONETA;CHEVROLET;LUV 4WD D/C;2017;23115;Contado
GSFX-17;CAMIONETA;DODGE;NEW RAM 1500 LARAMIE CC S;2017;380815;Contado
DDFX-18;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4;2017;143288;Contado
FBBZ-34;CAMIONETA;CHEVROLET;SILVERADO LT II EC 5.3 4W;2017;238988;Contado
CLHR-92;CAMIONETA;NISSAN;TERRANO DC TDI 4X4 DX SV;2017;56494;1ra. Cuota
HRLG-79;STATION WAGON;CHEVROLET;TAHOE LT IV SU 5.3L 4WD;2017;1022307;Contado
BZSV-22;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A;2017;82063;Contado
ZT-1548;STATION WAGON;DAIHATSU;TERIOS 4X2 1AB;2017;28263;Contado
DZJF-18;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRT 4X;2017;145688;Contado
TZ-4144;CAMIONETA;TOYOTA;HILUX D/C DLX DIES BUT;2017;14332;1ra. Cuota
NK-6059;CAMIONETA;HYUNDAI;PORTER;2017;23115;Contado
WW-7233;AUTOMOVIL;FORD;FIESTA SEDAN FIRST;2017;25600;Contado
RV-3295;CAMIONETA;FORD;RANGER XLT MT;2017;23115;Contado
YX-4627;CAMIONETA;CHEVROLET;LUV WORK CC 2.2;2017;23800;Contado
CPZV-26;CAMIONETA;DODGE;DAKOTA CREW CAB LARAMIE L;2017;161888;Contado
DKGF-35;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A;2017;162488;Contado
XY-9258;STATION WAGON;NISSAN;PATHFINDER SE CONF.RL503;2017;46863;Contado
CYXF-14;AUTOMOVIL;HYUNDAI;ACCENT MC 1.4 GL PS;2017;48263;Contado
BLZT-83;CAMIONETA;MAHINDRA;PIK-UP XL D/C 4X4 ABS CRD;2017;42863;Contado
CFVP-83;CAMIONETA;TOYOTA;TUNDRA  4X4;2017;97744;1ra. Cuota
EN-8032;CAMIONETA;VOLKSWAGEN;GOL GL 4 VEL;2017;23115;Contado
HGSR-65;CAMIONETA;FIAT;STRADA 1.4 D/C MT WORKING;2017;55294;1ra. Cuota
GRVC-39;CASA RODANTE;FORD;CHALLENGER TRIGANO FD2 2.4;2017;444425;Contado
GFLC-47;CAMIONETA;MAZDA;BT-50 D/C SDX HIGH 6AT 4X;2017;408015;Contado
