 Placa ; Tipo de Vehiculo ; Marca ; Año de Fabricacion ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Correccion Monetaria ; Valor Total ; Fecha de Emision ; Codigo Sii ; Forma de Pago 
BDXT-44;STATION WAGON;SUZUKI;2008;2018;35195;0;0;0;35195;28-03-2018;SU229019608;1ra. Cuota
GDKG-77;CAMIONETA;TOYOTA;2014;2018;132883;0;0;0;132883;28-03-2018;CT235013814;1ra. Cuota
CBRB-79;CAMIONETA;TOYOTA;2010;2018;52933;0;0;0;52933;28-03-2018;CT235011610;1ra. Cuota
BKCV-65;CAMIONETA;MAZDA;2008;2018;53989;0;0;0;53989;28-03-2018;CT160008408;Contado
CYXF-14;AUTOMOVIL;HYUNDAI;2011;2018;44789;0;0;0;44789;28-03-2018;SD111014611;Contado
FRWH-61;AUTOMOVIL;CHEVROLET;2013;2018;47989;0;0;0;47989;28-03-2018;HB050014013;Contado
FLCJ-16;CAMIONETA;SSANGYONG;2013;2018;136166;0;0;0;136166;28-03-2018;CT225001313;Contado
PP-9059;AUTOMOVIL;HYUNDAI;1997;2018;23510;0;0;0;23510;28-03-2018;SD111004997;Contado
GPLL-17;CAMIONETA;MITSUBISHI;2014;2018;70933;0;0;0;70933;28-03-2018;CT166006114;1ra. Cuota
CGPL-65;CAMIONETA;GREAT WALL;2009;2018;23510;0;0;0;23510;28-03-2018;CT091001309;Contado
GXC-860;CARRO ARRASTRE;HECHIZO;2017;2018;23510;0;0;0;23510;28-03-2018; ;Contado
DZZH-29;CAMIONETA;MAHINDRA;2012;2018;65589;0;0;0;65589;28-03-2018;CT154001912;Contado
FFCH-26;AUTOMOVIL;SUZUKI;2013;2018;23510;0;0;0;23510;28-03-2018;HB229011013;Contado
GKPP-85;STATION WAGON;MITSUBISHI;2014;2018;158909;0;0;0;158909;28-03-2018;VN166006514;1ra. Cuota
JVJC-86;AUTOMOVIL;SUZUKI;2017;2018;41189;0;0;0;41189;28-03-2018;HB229014917;Contado
HSRH-70;AUTOMOVIL;CHEVROLET;2016;2018;52633;0;0;0;52633;28-03-2018;SD050030716;1ra. Cuota
BVFP-38;STATION WAGON;CHEVROLET;2009;2018;38989;0;0;0;38989;29-03-2018;SU050005509;Contado
CTJH-36;CAMIONETA;NISSAN;2011;2018;112766;0;0;0;112766;29-03-2018;CT176025911;Contado
GYPJ-46;MINIBUS PARTICULAR;NISSAN;2015;2018;288618;0;0;0;288618;29-03-2018;VN176005115;Contado
UT-7278;JEEP;LAND ROVER;2002;2018;30589;0;0;0;30589;29-03-2018;SU141001802;Contado
HCHG-30;AMBULANCIA;VOLKSWAGEN;2015;2018;379818;0;0;0;379818;29-03-2018;VN243007315;Contado
RV-3295;CAMIONETA;FORD;1998;2018;23510;0;0;0;23510;29-03-2018;CT079004998;Contado
GBSC-41;CAMIONETA;NISSAN;2014;2018;149666;0;0;0;149666;29-03-2018;CT176030514;Contado
FYYY-72;AMBULANCIA;TOYOTA;2014;2018;226166;0;0;0;226166;29-03-2018;CT235013714;Contado
DZBK-20;MINIBUS PARTICULAR;VOLKSWAGEN;2012;2018;156566;0;0;0;156566;29-03-2018;VN243003312;Contado
GTTK-12;CAMIONETA;MITSUBISHI;2015;2018;229766;0;0;0;229766;29-03-2018;CT166006015;Contado
DWPK-50;CAMIONETA;NISSAN;2012;2018;66283;0;0;0;66283;29-03-2018;CT176025912;1ra. Cuota
JCCH-17;MINIBUS PARTICULAR;MAXUS;2017;2018;477194;0;0;0;477194;29-03-2018;VN159000217;Contado
JGJZ-64;STATION WAGON;GREAT WALL;2017;2018;59533;0;0;0;59533;29-03-2018;SU091002217;1ra. Cuota
CHWV-65;CAMIONETA;NISSAN;2010;2018;40995;0;0;0;40995;29-03-2018;CT176027510;1ra. Cuota
CKKJ-25;FURGON;HYUNDAI;2010;2018;41495;0;0;0;41495;29-03-2018;VN111012210;1ra. Cuota
CFVP-83;CAMIONETA;TOYOTA;2010;2018;88933;0;0;0;88933;29-03-2018;CT235013010;1ra. Cuota
TU-3357;CAMIONETA;HYUNDAI;2000;2018;23510;0;0;0;23510;29-03-2018;CT111000900;Contado
NE-3508;CAMIONETA;NISSAN;1995;2018;23510;0;0;0;23510;29-03-2018;CT176001795;Contado
HSRS-41;AUTOMOVIL;KIA MOTORS;2016;2018;33295;0;0;0;33295;29-03-2018;HB132007916;1ra. Cuota
HBVD-76;CAMIONETA;MAHINDRA;2014;2018;64333;0;0;0;64333;29-03-2018;CT154002414;1ra. Cuota
HDCZ-60;STATION WAGON;DAIHATSU;2015;2018;116366;0;0;0;116366;29-03-2018;SU059011715;Contado
LT-8434;CAMIONETA;HYUNDAI;1995;2018;23510;0;0;0;23510;29-03-2018;CT111000295;Contado
FTBW-89;CAMIONETA;MAHINDRA;2013;2018;92966;0;0;0;92966;29-03-2018;CT154002513;Contado
WW-7233;AUTOMOVIL;FORD;2007;2018;24600;0;0;0;24600;29-03-2018;SD079011907;Contado
YA-3742;CAMIONETA;TOYOTA;2005;2018;18895;0;0;0;18895;29-03-2018;CT235008905;1ra. Cuota
HBVV-65;AUTOMOVIL;SUZUKI;2015;2018;28989;0;0;0;28989;29-03-2018;HB229009215;Contado
WZ-8700;AUTOMOVIL;SUZUKI;2007;2018;23510;0;0;0;23510;29-03-2018;HB229008407;Contado
DF-9613;CAMIONETA;TOYOTA;1991;2018;23510;0;0;0;23510;29-03-2018;CT235002091;Contado
SL-6213;CAMIONETA;CHEVROLET;1998;2018;23510;0;0;0;23510;29-03-2018;CT050008698;Contado
BVKF-21;CAMIONETA;NISSAN;2009;2018;40895;0;0;0;40895;29-03-2018;CT176024309;1ra. Cuota
JDXC-27;AUTOMOVIL;VOLKSWAGEN;2017;2018;47533;0;0;0;47533;29-03-2018;SD243016817;1ra. Cuota
RY-2658;AUTOMOVIL;KIA MOTORS;1998;2018;11755;0;0;0;11755;29-03-2018;HB132000598;1ra. Cuota
YRV-020;CARRO ARRASTRE;HECHIZO;2015;2018;23510;0;0;0;23510;29-03-2018; ;Contado
VY-2941;AUTOMOVIL;HONDA;2004;2018;45589;0;0;0;45589;29-03-2018;SD106008404;Contado
GBGB-91;CAMIONETA;DODGE;2013;2018;264709;0;0;0;264709;29-03-2018;CT064007513;1ra. Cuota
GFLC-47;CAMIONETA;MAZDA;2014;2018;184509;0;0;0;184509;29-03-2018;CT160011614;1ra. Cuota
GRVC-39;CASA RODANTE;FORD;2007;2018;204434;0;0;0;204434;29-03-2018; ;1ra. Cuota
FZGW-95;STATION WAGON;ZOTYE;2014;2018;21895;0;0;0;21895;29-03-2018;SU266000514;1ra. Cuota
BKZG-38;STATION WAGON;GREAT WALL;2008;2018;32389;0;0;0;32389;29-03-2018;SU091000308;Contado
CRBJ-26;CAMIONETA;CHEVROLET;2010;2018;43333;0;0;0;43333;29-03-2018;CT050028910;1ra. Cuota
YF-6912;STATION WAGON;SUBARU;2005;2018;36189;0;0;0;36189;29-03-2018;SU227018605;Contado
TC-7515;CAMIONETA;CHEVROLET;1999;2018;23510;0;0;0;23510;29-03-2018;CT050010399;Contado
ZT-9971;AUTOMOVIL;FIAT;2006;2018;23510;0;0;0;23510;29-03-2018;HB077010206;Contado
FFGR-28;CAMIONETA;CHEVROLET;2013;2018;162866;0;0;0;162866;29-03-2018;CT050030213;Contado
TZ-4205;JEEP;SUZUKI;2001;2018;23510;0;0;0;23510;29-03-2018;SU229005101;Contado
GSTR-19;CAMIONETA;NISSAN;2015;2018;113383;0;0;0;113383;29-03-2018;CT176031615;1ra. Cuota
DBDT-35;CAMIONETA;NISSAN;2011;2018;58389;0;0;0;58389;29-03-2018;CT176029111;Contado
KU-7829;CAMIONETA;CHEVROLET;1993;2018;23510;0;0;0;23510;29-03-2018;CT050003793;Contado
UP-2742;CAMIONETA;MAZDA;2001;2018;24600;0;0;0;24600;29-03-2018;CT160004501;Contado
HGSB-46;AUTOMOVIL;SUZUKI;2015;2018;15995;0;0;0;15995;29-03-2018;HB229012015;1ra. Cuota
RG-4349;STATION WAGON;SUBARU;1997;2018;23510;0;0;0;23510;29-03-2018;SU227004397;Contado
RS-9317;CAMIONETA;TOYOTA;1997;2018;11755;0;0;0;11755;29-03-2018;CT235003597;1ra. Cuota
FGKR-99;CAMIONETA;NISSAN;2013;2018;63283;0;0;0;63283;29-03-2018;CT176030513;1ra. Cuota
BVTJ-74;CAMIONETA;CHANGAN;2011;2018;23510;0;0;0;23510;29-03-2018;CT047000111;Contado
DTCV-56;CAMIONETA;NISSAN;2012;2018;67389;0;0;0;67389;29-03-2018;CT176029112;Contado
FRPS-70;AUTOMOVIL;NISSAN;2013;2018;51389;0;0;0;51389;29-03-2018;HB176004913;Contado
BSKT-21;CAMIONETA;NISSAN;2008;2018;33095;0;0;0;33095;29-03-2018;CT176020308;1ra. Cuota
RY-7251;JEEP;SUZUKI;1998;2018;23510;0;0;0;23510;29-03-2018;SU229003398;Contado
JBWY-91;STATION WAGON;FORD;2017;2018;93733;0;0;0;93733;02-04-2018;SU079006217;1ra. Cuota
GTZL-51;CAMIONETA;TOYOTA;2015;2018;260666;0;0;0;260666;02-04-2018;CT235013715;Contado
HTZJ-70;CAMIONETA;FORD;2016;2018;225109;0;0;0;225109;02-04-2018;CT079017516;1ra. Cuota
DTPB-73;CAMIONETA;SSANGYONG;2012;2018;51133;0;0;0;51133;02-04-2018;CT225002212;1ra. Cuota
JDWT-34;AUTOMOVIL;HYUNDAI;2017;2018;30695;0;0;0;30695;02-04-2018;HB111015517;1ra. Cuota
PV-2084;AUTOMOVIL;SUZUKI;1997;2018;23510;0;0;0;23510;02-04-2018;HB229004197;Contado
HGSR-65;CAMIONETA;FIAT;2016;2018;43783;0;0;0;43783;02-04-2018;CT077001916;1ra. Cuota
SN-4331;CAMIONETA;KIA MOTORS;1998;2018;23510;0;0;0;23510;02-04-2018;CT132000498;Contado
UC-6938;AUTOMOVIL;SUZUKI;2000;2018;23510;0;0;0;23510;02-04-2018;HB229003500;Contado
WV-8834;AUTOMOVIL;SUZUKI;2007;2018;40389;0;0;0;40389;02-04-2018;SU229021507;Contado
AM-0512;CUATRIMOTO;CF MOTO;2014;2018;26900;0;0;0;26900;02-04-2018;MT046000614;Contado
CBPD-99;AUTOMOVIL;KIA MOTORS;2009;2018;23900;0;0;0;23900;02-04-2018;HB132002409;Contado
DT-8045;CAMIONETA;CHEVROLET;1992;2018;23510;0;0;0;23510;02-04-2018;CT050001192;Contado
WV-9580;AUTOMOVIL;CHEVROLET;2007;2018;23510;0;0;0;23510;02-04-2018;SD050021507;Contado
FL-3141;AUTOMOVIL;MAZDA;1985;2018;23510;0;0;0;23510;02-04-2018;SD160001385;Contado
FPWT-77;FURGON;LIFAN;2013;2018;26500;0;0;0;26500;02-04-2018;CO146000113;Contado
CDVY-76;STATION WAGON;KIA MOTORS;2010;2018;64989;0;0;0;64989;02-04-2018;SU132010410;Contado
JVJG-18;CAMIONETA;FIAT;2017;2018;85033;0;0;0;85033;02-04-2018;CT077002817;1ra. Cuota
JVJD-74;STATION WAGON;TOYOTA;2017;2018;385140;0;0;0;385140;02-04-2018;SU235009917;1ra. Cuota
WW-9915;AUTOMOVIL;HYUNDAI;2007;2018;29189;0;0;0;29189;02-04-2018;HB111005107;Contado
YRV-024;CARRO ARRASTRE;FENDT;2000;2018;23510;0;0;0;23510;02-04-2018; ;Contado
VL-9550;STATION WAGON;HYUNDAI;2003;2018;20795;0;0;0;20795;02-04-2018;SU111002903;1ra. Cuota
PK-2719;STATION WAGON;NISSAN;1996;2018;23510;0;0;0;23510;03-04-2018;SU176004196;Contado
VF-6233;STATION WAGON;SUZUKI;2002;2018;44189;0;0;0;44189;03-04-2018;SU229011102;Contado
WH-7320;CAMIONETA;KIA MOTORS;2006;2018;53789;0;0;0;53789;03-04-2018;CT132003906;Contado
BFRF-70;CAMIONETA;HYUNDAI;2008;2018;56989;0;855;0;57844;03-04-2018;CT111003608;Contado
VS-9951;STATION WAGON;HYUNDAI;2003;2018;36589;0;549;0;37138;04-04-2018;SU111002803;Contado
UL-3205;FURGON;SUZUKI;2001;2018;23510;0;353;0;23863;04-04-2018;VN229000101;Contado
VA-6159;AUTOMOVIL;SUZUKI;2002;2018;23510;0;353;0;23863;04-04-2018;HB229004102;Contado
CTJB-95;CAMIONETA;VOLKSWAGEN;2011;2018;170666;0;2560;0;173226;04-04-2018;CT243002111;Contado
PZ-1208;JEEP;SUZUKI;1997;2018;23510;0;353;0;23863;04-04-2018;SU229004397;Contado
KG-8822;AUTOMOVIL;SUBARU;1993;2018;23510;0;353;0;23863;04-04-2018;SD227004693;Contado
DPJG-60;CAMIONETA;MITSUBISHI;2012;2018;134966;0;2024;0;136990;05-04-2018;CT166004712;Contado
DPPZ-58;STATION WAGON;MAHINDRA;2012;2018;68589;0;0;0;68589;28-02-2018;SU154000312;Contado
FVRG-96;CAMIONETA;TOYOTA;2013;2018;174866;0;0;0;174866;01-03-2018;CT235013213;Contado
FGKS-92;CAMIONETA;FORD;2013;2018;377818;0;0;0;377818;02-03-2018;CT079017913;Contado
RJ-9449;AUTOMOVIL;MAZDA;1998;2018;23510;0;0;0;23510;05-03-2018;SD160005898;Contado
TY-3455;CAMIONETA;TOYOTA;2000;2018;24800;0;0;0;24800;06-03-2018;CT235004100;Contado
UZ-5918;AUTOMOVIL;FIAT;2002;2018;23510;0;0;0;23510;07-03-2018;SD077003702;Contado
CRVZ-89;STATION WAGON;HYUNDAI;2014;2018;183566;0;0;0;183566;07-03-2018;SU111009114;Contado
CJWX-66;AUTOMOVIL;SUZUKI;2010;2018;19795;0;0;0;19795;08-03-2018;HB229007710;1ra. Cuota
CKPP-53;CAMIONETA;MITSUBISHI;2010;2018;84589;0;0;0;84589;08-03-2018;CT166004510;Contado
FCJR-49;CAMIONETA;CHEVROLET;2012;2018;66433;0;0;0;66433;08-03-2018;CT050030212;1ra. Cuota
DS-9221;JEEP;NISSAN;1992;2018;23510;0;0;0;23510;08-03-2018;SU176001692;Contado
FRGV-46;CAMIONETA;TOYOTA;2013;2018;125383;0;0;0;125383;08-03-2018;CT235013413;1ra. Cuota
XL-8382;CAMIONETA;MITSUBISHI;2004;2018;25900;0;0;0;25900;09-03-2018;CT166002504;Contado
DXXW-96;STATION WAGON;JEEP;2012;2018;261266;0;0;0;261266;11-03-2018;SU121004712;Contado
UG-5586;STATION WAGON;SUBARU;2001;2018;13150;0;0;0;13150;11-03-2018;SU227011801;1ra. Cuota
CDVY-80;AUTOMOVIL;TOYOTA;2010;2018;61589;0;0;0;61589;12-03-2018;HB235004610;Contado
GZHP-43;AUTOMOVIL;RENAULT;2015;2018;61589;0;0;0;61589;12-03-2018;SD197012715;Contado
PL-9021;STATION WAGON;SUBARU;1997;2018;23510;0;0;0;23510;13-03-2018;SU227004797;Contado
FFWL-95;CAMIONETA;CHEVROLET;2013;2018;79483;0;0;0;79483;13-03-2018;CT050026813;1ra. Cuota
CCFY-54;CAMIONETA;NISSAN;2010;2018;68589;0;0;0;68589;13-03-2018;CT176023810;Contado
GGZZ-59;CAMIONETA;FIAT;2014;2018;89066;0;0;0;89066;14-03-2018;CT077002014;Contado
BZ-9915;CAMIONETA;CHEVROLET;1989;2018;23510;0;0;0;23510;14-03-2018;CT050003889;Contado
FDFL-67;AUTOMOVIL;HYUNDAI;2013;2018;38789;0;0;0;38789;15-03-2018;HB111009713;Contado
HGSB-76;AUTOMOVIL;CHEVROLET;2015;2018;28095;0;0;0;28095;16-03-2018;SD050028215;1ra. Cuota
CYXF-20;CAMIONETA;MAHINDRA;2011;2018;63589;0;0;0;63589;16-03-2018;CT154001211;Contado
FJHP-29;CAMIONETA;CHEVROLET;2013;2018;84283;0;0;0;84283;17-03-2018;CT050032013;1ra. Cuota
FTSK-31;CAMIONETA;NISSAN;2013;2018;137666;0;0;0;137666;18-03-2018;CT176030913;Contado
FTSK-32;CAMIONETA;NISSAN;2013;2018;137666;0;0;0;137666;18-03-2018;CT176030913;Contado
DRYY-84;CAMIONETA;NISSAN;2012;2018;128366;0;0;0;128366;18-03-2018;CT176030412;Contado
DFDH-81;CAMIONETA;MITSUBISHI;2011;2018;109766;0;0;0;109766;18-03-2018;CT166004711;Contado
FPKL-79;STATION WAGON;FORD;2013;2018;51583;0;0;0;51583;19-03-2018;SU079006213;1ra. Cuota
DJDG-98;CAMIONETA;TOYOTA;2012;2018;88633;0;0;0;88633;19-03-2018;CT235013312;1ra. Cuota
CRHB-38;CAMIONETA;CHEVROLET;2010;2018;87866;0;0;0;87866;19-03-2018;CT050027210;Contado
DYWY-24;STATION WAGON;HYUNDAI;2012;2018;154766;0;0;0;154766;19-03-2018;SU111010812;Contado
FLBF-61;CAMIONETA;TOYOTA;2013;2018;131683;0;0;0;131683;19-03-2018;CT235013013;1ra. Cuota
UC-8698;CAMIONETA;CHEVROLET;2001;2018;11755;0;0;0;11755;20-03-2018;CT050012701;1ra. Cuota
BDKG-98;CAMIONETA;SSANGYONG;2008;2018;28495;0;0;0;28495;21-03-2018;CT225001208;1ra. Cuota
BBTW-70;CAMIONETA;MITSUBISHI;2008;2018;69789;0;0;0;69789;21-03-2018;CT166004508;Contado
TU-8565;JEEP;SUZUKI;2000;2018;23510;0;0;0;23510;21-03-2018;SU229005100;Contado
BHTF-87;STATION WAGON;SUZUKI;2008;2018;66589;0;0;0;66589;21-03-2018;SU229018508;Contado
CDWS-43;STATION WAGON;BMW;2010;2018;195909;0;0;0;195909;21-03-2018;SU032002610;1ra. Cuota
BGJZ-73;JEEP;JEEP;2009;2018;64333;0;0;0;64333;21-03-2018;VN121001809;1ra. Cuota
ZX-2123;FURGON;MITSUBISHI;2006;2018;31789;0;0;0;31789;21-03-2018;VN166002306;Contado
FDGR-97;FURGON;CITROEN;2012;2018;74189;0;0;0;74189;21-03-2018;CO052006712;Contado
CPTL-59;AUTOMOVIL;CHEVROLET;2011;2018;37589;0;0;0;37589;21-03-2018;HB050012211;Contado
FZVZ-72;CAMIONETA;NISSAN;2014;2018;175466;0;0;0;175466;21-03-2018;CT176030614;Contado
FKWJ-55;CAMIONETA;KIA MOTORS;2013;2018;158366;0;0;0;158366;21-03-2018;CT132005013;Contado
DVKZ-38;FURGON;HYUNDAI;2012;2018;145766;0;0;0;145766;21-03-2018;VN111014912;Contado
DDFK-17;FURGON;CITROEN;2011;2018;125066;0;0;0;125066;21-03-2018;CO052006111;Contado
ZA-5224;CAMIONETA;CHEVROLET;2006;2018;33989;0;0;0;33989;22-03-2018;CT050021206;Contado
CLFY-89;AUTOMOVIL;TOYOTA;2010;2018;23795;0;0;0;23795;22-03-2018;HB235002510;1ra. Cuota
VV-6738;CAMIONETA;MITSUBISHI;2003;2018;23510;0;0;0;23510;22-03-2018;CT166002703;Contado
FHFW-58;AUTOMOVIL;KIA MOTORS;2013;2018;23995;0;0;0;23995;23-03-2018;HB132004213;1ra. Cuota
MY-2009;CAMIONETA;TOYOTA;2007;2018;28195;0;0;0;28195;23-03-2018;CT235010207;1ra. Cuota
XY-9258;STATION WAGON;NISSAN;2004;2018;43189;0;0;0;43189;23-03-2018;SU176016204;Contado
TY-7523;AUTOMOVIL;MERCEDES BENZ;1998;2018;39989;0;0;0;39989;23-03-2018;SD162009998;Contado
VZ-9148;AUTOMOVIL;HYUNDAI;2004;2018;23510;0;0;0;23510;23-03-2018;SD111009604;Contado
UC-7014;STATION WAGON;HYUNDAI;2001;2018;32989;0;0;0;32989;23-03-2018;VN111007001;Contado
FLCC-52;CAMIONETA;KIA MOTORS;2013;2018;158366;0;0;0;158366;23-03-2018;CT132005013;Contado
UT-1228;CAMIONETA;CHEVROLET;2002;2018;23510;0;0;0;23510;26-03-2018;CT050012602;Contado
HBSX-52;STATION WAGON;HYUNDAI;2015;2018;115033;0;0;0;115033;26-03-2018;SU111016315;1ra. Cuota
CBPV-31;STATION WAGON;CHEVROLET;2010;2018;43183;0;0;0;43183;26-03-2018;SU050006610;1ra. Cuota
BFRK-14;AUTOMOVIL;FORD;2008;2018;31389;0;0;0;31389;26-03-2018;HB079011108;Contado
BTVP-19;STATION WAGON;FORD;2009;2018;98966;0;0;0;98966;26-03-2018;VN079005509;Contado
GKPD-18;AUTOMOVIL;CHEVROLET;2008;2018;28200;0;0;0;28200;26-03-2018;SD050022108;Contado
BDVJ-63;STATION WAGON;HYUNDAI;2008;2018;98366;0;0;0;98366;27-03-2018;SU111005708;Contado
NP-7113;CAMIONETA;FORD;1996;2018;23510;0;0;0;23510;27-03-2018;CT079002996;Contado
CRFS-54;JEEP;SUZUKI;2010;2018;53789;0;0;0;53789;27-03-2018;SU229022310;Contado
UH-6111;AUTOMOVIL;VOLKSWAGEN;2001;2018;23510;0;0;0;23510;27-03-2018;HB243006601;Contado
NA-2825;AUTOMOVIL;DAEWOO;1996;2018;23510;0;0;0;23510;27-03-2018;SD057002196;Contado
CKWC-44;CAMIONETA;TATA;2011;2018;60389;0;0;0;60389;28-03-2018;CT231000211;Contado
VC-7399;FURGON;PEUGEOT;2002;2018;23510;0;0;0;23510;28-03-2018;CO184001802;Contado
HGSH-36;STATION WAGON;SUZUKI;2015;2018;83789;0;0;0;83789;28-03-2018;SU229026315;Contado
HZZJ-52;CAMIONETA;MAHINDRA;2016;2018;78283;0;0;0;78283;28-03-2018;CT154002816;1ra. Cuota
CWCR-39;CAMIONETA;TATA;2011;2018;60389;0;0;0;60389;28-03-2018;CT231000211;Contado
HFRZ-81;AUTOMOVIL;CHEVROLET;2015;2018;57589;0;0;0;57589;28-03-2018;HB050015015;Contado
DLCT-45;STATION WAGON;JAC;2012;2018;41989;0;0;0;41989;28-03-2018;SU117001012;Contado
BGCJ-55;STATION WAGON;LAND ROVER;2008;2018;225309;0;0;0;225309;28-03-2018;SU141004808;1ra. Cuota
PZ-3103;CAMIONETA;TOYOTA;1997;2018;23510;0;0;0;23510;28-03-2018;CT235003697;Contado
BKTX-61;STATION WAGON;FORD;2008;2018;42789;0;0;0;42789;28-03-2018;SU079004508;Contado
YC-2809;AUTOMOVIL;NISSAN;2005;2018;23510;0;0;0;23510;28-03-2018;SD176021405;Contado
FLJR-79;AUTOMOVIL;SUZUKI;2013;2018;26300;0;0;0;26300;29-03-2018;HB229011313;Contado
FPFZ-30;CAMIONETA;TOYOTA;2013;2018;102433;0;0;0;102433;29-03-2018;CT235013313;1ra. Cuota
BXBL-63;AUTOMOVIL;SUZUKI;2009;2018;23510;0;0;0;23510;29-03-2018;HB229006909;Contado
CVSV-63;STATION WAGON;KIA MOTORS;2011;2018;103766;0;0;0;103766;29-03-2018;SU132012611;Contado
RX-9892;CAMIONETA;TOYOTA;1998;2018;23510;0;0;0;23510;29-03-2018;CT235003598;Contado
SD-8237;CAMIONETA;MAZDA;1998;2018;23700;0;0;0;23700;29-03-2018;CT160001898;Contado
DPLB-31;CAMIONETA;TOYOTA;2012;2018;73633;0;0;0;73633;29-03-2018;CT235011512;1ra. Cuota
GWKT-30;CAMIONETA;MITSUBISHI;2015;2018;195266;0;0;0;195266;29-03-2018;CT166005715;Contado
CGPT-53;STATION WAGON;DAIHATSU;2010;2018;70389;0;0;0;70389;29-03-2018;SU059009410;Contado
PB-5445;JEEP;DAIHATSU;1996;2018;23510;0;0;0;23510;30-03-2018;SU059000596;Contado
FPYW-52;FURGON;FIAT;2013;2018;19495;0;0;0;19495;30-03-2018;CO077000813;1ra. Cuota
FVJH-75;AUTOMOVIL;CHEVROLET;2013;2018;47789;0;0;0;47789;30-03-2018;HB050011313;Contado
HRPX-14;STATION WAGON;HONDA;2016;2018;281415;0;0;0;281415;30-03-2018;SU106003516;1ra. Cuota
DSS-015;MOTO;MV AGUSTA;2016;2018;214509;0;0;0;214509;30-03-2018;MT175002916;1ra. Cuota
GRYY-16;STATION WAGON;HONDA;2014;2018;129433;0;0;0;129433;31-03-2018;SU106004314;1ra. Cuota
BGRT-98;AUTOMOVIL;MITSUBISHI;2008;2018;66589;0;0;0;66589;31-03-2018;SD166006308;Contado
BCFW-92;AUTOMOVIL;SUZUKI;2007;2018;11755;0;0;0;11755;31-03-2018;HB229008307;1ra. Cuota
BDRL-88;CAMIONETA;NISSAN;2008;2018;40195;0;0;0;40195;31-03-2018;CT176018308;1ra. Cuota
CJK-065;MOTO;MOTORRAD;2015;2018;11755;0;0;0;11755;31-03-2018;MT173011315;1ra. Cuota
VP-1559;MINIBUS PARTICULAR;KIA MOTORS;2003;2018;40789;0;0;0;40789;01-04-2018;VN132005903;Contado
RA-3696;AUTOMOVIL;HYUNDAI;1997;2018;23510;0;0;0;23510;01-04-2018;SD111005097;Contado
BTXF-46;CAMIONETA;MAZDA;2009;2018;58189;0;0;0;58189;01-04-2018;CT160009509;Contado
HSRD-99;CAMIONETA;TOYOTA;2016;2018;550680;0;0;0;550680;01-04-2018;CT235014316;Contado
FGGF-72;CAMIONETA;SSANGYONG;2013;2018;86683;0;0;0;86683;01-04-2018;CT225002713;1ra. Cuota
DZVS-68;AUTOMOVIL;SUZUKI;2013;2018;23510;0;0;0;23510;02-04-2018;HB229011013;Contado
UU-7978;CAMIONETA;CHEVROLET;2001;2018;11755;0;0;0;11755;02-04-2018;CT050015101;1ra. Cuota
KJ-4937;JEEP;DAIHATSU;1993;2018;23510;0;0;0;23510;02-04-2018;SU059000593;Contado
RJ-9298;AUTOMOVIL;MITSUBISHI;1998;2018;23510;0;0;0;23510;02-04-2018;SD166003698;Contado
GXPW-76;CAMIONETA;DODGE;2015;2018;389818;0;5847;0;395665;05-04-2018;CT064009115;Contado
DLS-061;MOTO;MOTORRAD;2016;2018;23510;0;353;0;23863;06-04-2018;MT173011416;Contado
DCVV-55;CAMIONETA;ZX;2011;2018;30389;0;0;0;30389;04-03-2018;CT268000511;Contado
HHKR-11;CAMIONETA;MITSUBISHI;2015;2018;221366;0;3320;0;224686;06-04-2018;CT166005915;Contado
GFST-54;CAMIONETA;TOYOTA;2014;2018;298618;0;4479;0;303097;06-04-2018;CT235013414;Contado
KDVX-94;BUS;MERCEDES BENZ;2018;2018;47301;0;0;0;47301;06-04-2018; ;Contado
HC-2816;JEEP;SUZUKI;1990;2018;23510;0;353;0;23863;09-04-2018;SU229001290;Contado
RE-2348;CAMIONETA;KIA MOTORS;1997;2018;23510;0;353;0;23863;06-04-2018;CT132000897;Contado
NE-6049;AUTOMOVIL;BMW;1991;2018;23510;0;353;0;23863;07-04-2018;SD032005791;Contado
FWWH-61;CAMIONETA;CHEVROLET;2013;2018;162866;0;2443;0;165309;08-04-2018;CT050030213;Contado
CJTZ-78;CAMIONETA;CHEVROLET;2010;2018;86666;0;1300;0;87966;09-04-2018;CT050028910;Contado
FYGT-40;STATION WAGON;DONGFENG;2014;2018;59789;0;897;0;60686;09-04-2018;SU065000314;Contado
TL-1053;AUTOMOVIL;SUZUKI;2000;2018;23510;0;353;0;23863;10-04-2018;HB229003500;Contado
DWYK-81;CAMIONETA;NISSAN;2012;2018;173666;0;2605;0;176271;12-04-2018;CT176030212;Contado
PW-2801;CAMIONETA;MITSUBISHI;2007;2018;59389;0;891;0;60280;13-04-2018;CT166005107;Contado
ZV-6585;STATION WAGON;DAIHATSU;2006;2018;26900;0;404;0;27304;13-04-2018;SU059009106;Contado
NX-5142;CAMIONETA;CHEVROLET;1996;2018;23510;0;353;0;23863;13-04-2018;CT050003796;Contado
PH-1243;CAMIONETA;FORD;1996;2018;23510;0;353;0;23863;13-04-2018;CT079002396;Contado
YL-3328;CAMIONETA;MITSUBISHI;2006;2018;41189;0;618;0;41807;17-04-2018;CT166002606;Contado
ZT-6921;CAMIONETA;TOYOTA;2006;2018;52989;0;795;0;53784;19-04-2018;CT235011106;Contado
GVFV-31;CAMIONETA;TOYOTA;2014;2018;233066;0;3496;0;236562;20-04-2018;CT235013314;Contado
